time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3197516997394085e-11,-9.497887771942448e-13,4.999999190701695,6.283185305727242,2.017993327996237e-08,0.0,-1.3197293954041427e-09,-9.497887771942448e-11,-2.69766103477054e-05,-7.261721625365603e-08,1.008988176001619e-06,0.0,403.9205935386204,403.92068451506725,403.9206781414588,403.92067159385414
0.12000000000000001,-6.368563514429377e-10,-5.464087425256244e-11,4.99999805107,6.283185288987596,6.56723067038456e-08,0.0,-2.409200840826297e-08,-2.6145612240607704e-09,-1.1011112541397334e-05,-6.917510856355609e-07,2.5663762626515945e-07,0.0,403.93537976409044,403.9353119301074,403.93546534984796,403.93540952705706
0.18,-3.3034549695314413e-09,-6.288624467428423e-10,4.9999976444556635,8.684430952143884e-10,9.799157574263972e-08,0.0,-6.6875131486484e-08,-1.7504691244509098e-08,-2.542698606600729e-06,2.3364474244697063e-06,1.102682228817265e-06,0.0,403.9328464086976,403.9329226908588,403.9326173579954,403.93289039041
0.23999999999999996,-9.241850221299832e-09,-1.2041402060576422e-09,4.9999974567667085,1.429799150187705e-07,1.3236137341721133e-07,0.0,-1.3545452638984405e-07,1.0636948116585652e-08,-3.713599966122546e-06,2.4326787190220673e-06,-4.868956302633529e-07,0.0,403.92957256177243,403.9294292390107,403.9295181737634,403.9295268503721
0.3,-1.963184973028407e-08,2.4403196937095446e-09,4.999997583150805,2.9529275291650947e-07,1.352178218283484e-07,0.0,-2.097296051183856e-07,1.2384992257264035e-07,7.926326718669761e-06,2.750511762540524e-06,1.1166424458136911e-06,0.0,403.93380929852646,403.9339538735328,403.9339190606146,403.9339476853614
0.36000000000000004,-3.48311006355376e-08,1.5632349521439487e-08,4.999998674026022,4.708799981045786e-07,2.153998144294178e-07,0.0,-3.0332937346421027e-07,3.307358538500545e-07,2.843592200113925e-05,3.2783667295444124e-06,1.7758490334806348e-06,0.0,403.9368921291735,403.9369515336314,403.9369569156913,403.9370044400731
0.4200000000000001,-5.716440085912563e-08,4.447256612772032e-08,5.000000518515565,7.256519785059368e-07,2.937436089922585e-07,0.0,-4.4917549084563704e-07,6.502891079967738e-07,3.3047004512012926e-05,6.181962192504724e-06,3.653939289122998e-07,0.0,403.9315413002799,403.93141409810625,403.93138452547197,403.93164622501064
0.48000000000000015,-8.937301884986406e-08,9.754991223392151e-08,5.000002041882683,1.1484044515341907e-06,3.150715235378243e-07,0.0,-6.263308282231528e-07,1.153558866613262e-06,1.7732092599264552e-05,8.773792240639254e-06,3.3560612650094635e-07,0.0,403.9245839868042,403.9245812926888,403.9246191690193,403.9248526973029
0.5400000000000001,-1.3254792003213823e-07,1.8877495121725797e-07,5.000002896860627,1.692910981176965e-06,2.828146472566573e-07,0.0,-8.123042122102175e-07,1.933967921830862e-06,1.0767259937576818e-05,9.677787158814827e-06,-2.2842639040094938e-06,0.0,403.92766725920893,403.92743105254385,403.92745837782616,403.92753967441143
0.6000000000000002,-1.8582117040761178e-07,3.3662212082327443e-07,5.000003792957551,2.298715619630798e-06,1.2919049030557517e-07,0.0,-9.507969989963591e-07,3.0460019498718886e-06,1.9102532330007976e-05,1.0934716626873374e-05,-3.1127334160253694e-06,0.0,403.9328179931499,403.93274335533255,403.9327106257333,403.93282371918883
0.6600000000000003,-2.445163817776886e-07,5.621165133819586e-07,5.000004696900907,2.9528878204843068e-06,6.2831852142613975,0.0,-9.878835091544206e-07,4.527604145819312e-06,1.1029014555112414e-05,1.0839171251260169e-05,-4.880094747932628e-06,0.0,403.9271669707968,403.9270077037649,403.9272044926328,403.9271956235697
0.7200000000000003,-3.01197133173562e-07,8.879965139398955e-07,5.00000515508443,3.5353986920227953e-06,6.2831849305306005,0.0,-8.763381600315859e-07,6.388814830928372e-06,4.243854901828326e-06,7.446910294862304e-06,-4.4263260409249e-06,0.0,403.92759413991035,403.92763516403426,403.9277094900337,403.9274034021906
0.7800000000000004,-3.4623560522082525e-07,1.3352095281125025e-06,5.00000549715251,3.974041632659464e-06,6.283184630594462,0.0,-6.002876993087582e-07,8.556891787509192e-06,7.158377526610329e-06,7.038301548026187e-06,-6.144278179047347e-06,0.0,403.93099896443283,403.9308441840832,403.9309242934492,403.9308872812429
0.8400000000000004,-3.6908974050121665e-07,1.9201658171176887e-06,5.000006481840996,4.374922172090123e-06,6.2831842465465115,0.0,-1.286978794947209e-07,1.0977542921437014e-05,2.5664338612383484e-05,5.96735274229686e-06,-6.913890316465058e-06,0.0,403.9363857367406,403.93631649588,403.93622468833524,403.9361279730155
0.9000000000000005,-3.566997553255942e-07,2.6572750639838337e-06,5.000008428572784,4.781430012812393e-06,6.283183791601553,0.0,5.796205164588167e-07,1.3626100380869515e-05,3.922654961181066e-05,8.390776895447394e-06,-8.919616222774963e-06,0.0,403.9346544226264,403.9344737573948,403.934462541319,403.9346808862596
0.9600000000000005,-2.9340645240443533e-07,3.560923795537964e-06,5.000010566098622,5.29559323236839e-06,6.283183249826024,0.0,1.5771107928112063e-06,1.653989122248091e-05,3.20244022773804e-05,8.926635602798369e-06,-9.249563906175407e-06,0.0,403.9274054772842,403.92737593830464,403.92747181362586,403.9275199291882
