,episode_scores
0,-287.186022559708
1,-287.1860696807708
2,-287.1860278462927
3,-287.18603582821675
4,-287.1860215851029
5,-287.18603336983324
6,-183.56551156573303
7,-200.23139747825155
8,-200.23116875856283
9,-275.2313596648682
10,-183.56740097950168
11,-366.89171767237417
12,-264.23004036954535
13,-95.88869125293252
14,-382.83323129223226
15,-100.2349115890227
16,-231.80617908167852
17,-220.2303760380586
18,-176.22967410940964
19,-100.23395314776991
20,-220.22996387206413
21,-209.7543213700663
22,-200.2322587795475
23,-275.2305785092301
24,-169.4661313479023
25,-347.5934913195646
26,-163.20398671793032
27,-88.23629536494856
28,-191.53502807696665
29,-352.2270943758434
30,-209.7528426333288
31,-169.46866328047412
32,-254.07373659759466
33,-95.88952902375806
34,-163.19453054703968
35,-71.20541620163715
36,-157.3797770294081
37,-338.6870093453935
38,-314.51088195593115
39,-157.37722066470045
40,-440.21969903146146
41,-220.2285860549533
42,-116.02009112775043
43,-314.51170359910356
44,-60.536832935316426
45,-244.67889057686838
46,-231.80633476167478
47,-275.2306854643787
48,-220.2289818274465
49,-231.80616965116732
50,-116.02190025218407
51,-209.7531853687856
52,-330.22355705707645
53,-347.58998980694014
54,-220.2285683657445
55,-220.22823714652958
56,-220.22758527771407
57,-183.56661231137392
58,-314.5111515028816
59,-231.80462053691429
60,-231.80535081788065
61,-91.90280753630826
62,-314.510734711243
63,-91.90038923862772
64,-287.1847402519041
65,-183.56756435480463
66,-275.2277076512204
67,-382.8329808618119
68,-176.23400117391637
69,-200.23061503691414
70,-104.99517226141185
71,-244.67643458838987
72,-183.56133137506072
73,-163.18829529164006
74,-137.72711884792167
75,-104.99450590972133
76,-183.56725157587812
77,-100.23524293409123
78,-95.88941694010944
79,-104.9953726438923
80,-400.2228242905359
81,-400.2228552168619
82,-300.2272162483736
83,-200.23085437132184
84,-200.23076070250463
85,-100.23506390180658
86,-300.2269653082317
87,-100.23471195218822
88,-95.88940052296924
89,-382.83356717158955
90,-382.83386635793676
91,-200.23137320320845
92,-88.23663260929878
93,-254.07639765028335
94,-209.75547409309317
95,-419.2704898484776
96,-100.23586207141594
97,-104.99725854044883
98,-275.2300402495744
99,-191.53665480930312
100,-275.2296114529982
101,-275.2297617278417
102,-287.18576683148206
103,-100.23513724936801
104,-95.88889517359364
105,-352.22653031251787
106,-366.89250510582775
107,-338.6870852547053
108,-176.231800064114
109,-91.9017194425951
110,-100.23530675947701
111,-287.18590567944455
112,-191.53741091734975
113,-191.53666274932695
114,-287.185801164273
115,-264.22899038002
116,-338.6871202530141
117,-352.2246900445948
118,-287.18534458257557
119,-287.18573658791803
120,-287.1855096654136
121,-275.23027405170524
122,-366.8928202920387
123,-287.18429416095137
124,-264.2300914574053
125,-95.88873549614567
126,-176.23156603315817
127,-275.22980056261787
128,-352.22661758486953
129,-183.56524680589766
130,-183.56562325568885
131,-91.9025599911961
132,-287.18605990072103
133,-264.23006246642393
134,-100.23531572188489
135,-287.18553492161163
136,-191.53613858431095
137,-264.22868108936893
138,-352.22532699679164
139,-244.67360614024838
140,-275.22934427265903
141,-275.2299168314484
142,-287.1850934826996
143,-191.53702623081026
144,-95.88911036832684
145,-352.22591196503475
146,-326.15219063065246
147,-275.2284310207271
148,-213.12631175443838
149,-303.67059374568794
150,-275.228905612022
151,-326.15247060334
152,-88.23232248768429
153,-61.38048835057163
154,-104.99176924777605
155,-209.75514927454037
156,-178.6163888809182
157,-169.45965662633716
158,-188.80520060724496
159,-151.9479248782324
160,-227.81616254548157
161,-254.07300987628028
162,-163.19303697420838
163,-244.67156378899344
164,-244.67155816947786
165,-163.1927807005326
166,-81.71583433217623
167,-338.6853829588891
168,-78.80730611970206
169,-275.23273144014934
170,-220.255120089702
171,-235.94864582707254
172,-163.1929131918196
173,-163.192754435558
174,-163.19313102437906
175,-163.1929587713405
176,-151.95755374673516
177,-163.19303753191215
178,-163.1930358711476
179,-163.19303522518246
180,-163.19296841999773
181,-163.19289299958066
182,-84.84720517863668
183,-235.9429733798996
184,-163.19290557031604
185,-163.19297289686423
186,-78.80473710754318
187,-163.19301763017518
188,-163.19283671971075
189,-163.19270883085497
190,-163.19291295449426
191,-163.19287793725834
192,-163.1928836137502
193,-163.19300085110083
194,-235.94296129466224
195,-163.19311555076186
196,-163.19331104724313
197,-254.07083052880347
198,-163.1927529100155
199,-244.67075196158063
200,-314.5092991705888
201,-235.93929530479278
202,-352.2233687482807
203,-163.1929108212144
204,-244.6710380027526
205,-78.80454919404846
206,-235.94010746789112
207,-244.67072370660213
208,-169.45862612774266
209,-163.19268264930434
210,-163.19299483901844
211,-78.80623041390723
212,-142.16240255220853
213,-81.71516026040113
214,-163.19298649498924
215,-244.67108833417794
216,-235.94006661842914
217,-142.1736824623336
218,-244.67105803531976
219,-163.1930186950036
220,-326.14886436029957
221,-146.89696442890667
222,-163.19283112726205
223,-163.19271411159983
224,-163.1927749148429
225,-163.1927979061895
226,-163.19299655075304
227,-163.19295517677324
228,-163.1927649414492
229,-163.19293138284814
230,-163.193038787252
231,-84.84848174324765
232,-287.18145368663767
233,-326.1509137382803
234,-235.94304026513683
235,-84.8474620814919
236,-88.231058553891
237,-254.07257249913042
238,-244.67105922083022
239,-200.22821906046187
240,-91.89694044400765
241,-287.18142292662077
242,-183.5615716574856
243,-227.82329150967732
244,-200.2310230452905
245,-91.90413443677484
246,-81.71227104517986
247,-71.21302069139333
248,-209.76143615514957
249,-129.62141168446485
250,-176.22603691686876
251,-244.6692154705214
252,-100.23015488647002
253,-287.1850304751389
254,8.841164918906838
255,-400.22919751762095
256,-326.1473203217721
257,-129.64144238913067
258,-244.66898580701402
259,-347.58906860101513
260,-146.8924629133257
261,-81.72680969439149
262,-220.2236375226869
263,-116.0168139718743
264,-244.67618184429972
265,-352.2254509613382
266,-56.64898313420432
267,-176.23032846728515
268,-169.4552410076006
269,-300.2356008223886
270,-209.74932070258612
271,-129.64576531992043
272,-116.0258684716246
273,88.4809492083273
274,94.15185998081373
275,-151.94898010955322
276,-264.23027636546567
277,-347.5903255597593
278,-264.21562153957706
279,-314.51278813523174
280,-0.39976487341931405
281,-183.60582932801344
282,-188.78538463420983
283,-235.94300244672928
284,-64.93344236075937
285,-78.80638059601019
286,-235.94327678767945
287,-235.94296107866435
288,-303.6745397283416
289,-78.80732257451893
290,-227.81876105949414
291,-303.6758577790844
292,-206.48160402821415
293,-314.5125257188766
294,-122.46492873673213
295,-200.24253627373992
296,-300.2230679964662
297,-191.53722536913966
298,-264.2297133637411
299,-91.90267628448481
300,-191.5369963397149
301,-183.56503977488134
302,-91.90250206313219
303,-104.99539272612975
304,-104.99539273556753
305,-400.2228673964442
306,-104.99539272983044
307,-400.2228631827869
308,-104.99539274182416
309,-400.2228631495722
310,-400.22287448515686
311,-104.99539271921178
312,-300.2274009249972
313,-104.99539272109185
314,-400.22286153043024
315,-400.2228634987927
316,-400.22286393263107
317,-400.22286351642884
318,-400.2228649778066
319,-104.99539272199237
320,-400.2228742997402
321,-104.99539264943368
322,-104.99539242399644
323,-400.2228646656967
324,-104.99539272351582
325,-104.99539273492925
326,-104.99539270315621
327,-104.99539272332707
328,-104.99539244094935
329,-104.99539271571103
330,-400.22286492588387
331,-104.99539274598331
332,-400.22286752118106
333,-104.99539273691369
334,-104.99539274764054
335,-104.995392731715
336,-104.99539268991819
337,-104.99539273409599
338,-400.2228668069592
339,-104.99539272655754
340,-104.99539267994253
341,-104.99539273225703
342,-104.99539270917595
343,-400.22286753549633
344,-104.99539271365194
345,-400.2228631395546
346,-104.99539274799443
347,-104.99539271358054
348,-104.99539269330403
349,-104.99539274594724
350,-300.2274545609835
351,-104.99539273291033
352,-104.99539270423331
353,-300.2274167383499
354,-300.227407967573
355,-300.2274008399601
356,-300.2273528898651
357,-300.22736473603914
358,-300.2272893674451
359,-104.99539274295326
360,-287.18628798084507
361,-191.5372920833679
362,-95.8884474847483
363,-95.88694373855253
364,-183.56605744501647
365,-183.56485922819823
366,-183.56503893716706
367,-183.56507418963983
368,-183.56506975105495
369,-183.56507568863424
370,-183.5650820512216
371,-183.56508789145553
372,-183.56507878332988
373,-183.56509037470758
374,-183.565068371288
375,-183.5650748972037
376,-183.56508841370226
377,-183.5650417055584
378,-183.5650771610572
379,-183.5650751190864
380,-183.56508215710747
381,-183.565075253297
382,-183.56506904345042
383,-183.56507469737969
384,-183.56506806706912
385,-183.56507526056296
386,-183.56507498352263
387,-183.5650632701215
388,-183.56503278784348
389,-183.56507531320332
390,-183.56508546258394
391,-183.56507499530085
392,-183.56507404167223
393,-183.56507939290222
394,-183.5650768788109
395,-183.56506415514468
396,-183.56508011050838
397,-183.56505349803737
398,-183.56502951037342
399,-183.5650797842654
400,-183.56505976346082
401,-183.56508037431135
