,episode_scores
0,-160.07799470062398
1,-160.07786326611816
2,-213.36532613109992
3,-213.36548522128084
4,-160.0779319035009
5,-57.94088459326044
6,-213.36546508737382
7,-57.94094154504592
8,-213.3653715130698
9,-213.365445491792
10,-213.365320001139
11,-138.761048890057
12,-81.71060462477416
13,-173.396624514647
14,-99.17149053044442
15,-106.79035464780367
16,-106.7897220230569
17,-247.62341178726257
18,-160.0783938200495
19,-247.6245019292522
20,-106.79084566922543
21,-106.7895353391006
22,-198.13796353842056
23,-173.39556038660578
24,-160.0724028391977
25,-173.3927730554161
26,-231.1249884307039
27,-138.76072680410545
28,-213.36760313007156
29,-252.11936326180896
30,-208.03349043672546
31,-138.76002514556484
32,-208.03372440101992
33,-252.12060880139322
34,-266.6597195333465
35,-106.7979016551495
36,-184.95428705373067
37,-148.66874803310375
38,-115.67541758432576
39,-198.14621922544666
40,-160.0801413667227
41,-115.67479066332402
42,-184.9559811128971
43,-130.11016738045953
44,-189.13284674015583
45,-160.07122145414206
46,-252.11343679819882
47,-208.0289703354196
48,-154.14332629311673
49,-277.3010781609957
50,-208.02516969974513
51,-231.1129182247081
52,-189.12772507838375
53,-154.12704128768775
54,-33.157895134750085
55,-63.14388797263296
56,-0.46757093046269005
57,-308.09332007731
58,-231.1224620453011
59,-308.09310341647665
60,-208.03359377618648
61,-154.14978831533492
62,-308.0924160654619
63,-173.38875379708898
64,-259.9800973846478
65,-259.979866751769
66,-154.14630614130752
67,-277.30295857356884
68,-154.14454363636662
69,-277.3024874784027
70,-231.1216290603542
71,-115.66318227339639
72,-198.12447004495692
73,-198.1245993686778
74,-346.57415218663886
75,-346.5738263841067
76,-385.0628679248849
77,-308.09155561556247
78,-208.03150146027428
79,-189.14122052870636
80,-138.75873570123426
81,-208.0320763364313
82,-208.03198453781252
83,-231.12017897585525
84,-308.0903836447482
85,-231.11878539416273
86,-277.3046871339427
87,-231.1190574364977
88,-231.11897282380167
89,-231.11905199783354
90,-346.5785998319476
91,-231.11832143888614
92,-231.11816842373648
93,-252.11429633836318
94,-277.3033149572406
95,-138.75503534250592
96,-231.11757319613065
97,-173.39415595990477
98,-277.3026191529776
99,-154.14604041056583
100,-231.11696105947146
101,-277.3032350857785
102,-277.3023297310948
103,-277.30260800821793
104,-208.02947805746584
105,-277.3041464536699
106,-173.39523295565087
107,-154.14704664696822
108,-277.3045999793875
109,-277.3020845886941
110,-277.3020455255335
111,-173.38506511858463
112,-231.11553235383496
113,-173.3848470598487
114,-277.3032176221283
115,-208.02920704446706
116,-154.1465787230619
117,-208.03091304551884
118,-346.572863117776
119,-308.0898059409304
120,-189.13705550332432
121,-277.3042340263043
122,-259.9773775950149
123,-346.57015905401323
124,-259.9795240767116
125,-154.14557236936514
126,-154.14642856896842
127,-173.38496642653178
128,-231.11796795079297
129,-138.75371909035175
130,-252.11408859756983
131,-308.08844446386723
132,-277.3029905638115
133,-277.30319960275773
134,-308.08863418116783
135,-208.02811548759877
136,-308.08847938681504
137,-138.75334688336312
138,-208.02826101858082
139,-277.30210410451633
140,-208.0280888879037
141,-208.0285510743691
142,-208.02845922494848
143,-138.75420923266375
144,-138.75434779956575
145,-208.02864370677148
146,-208.02866316538575
147,-208.02853754503516
148,-208.0285040656882
149,-138.75424814816878
150,-208.0286337559574
151,-208.02870914258787
152,-277.3029852460214
153,-277.30298108356135
154,-208.02867137072948
155,-208.02853361007655
156,-138.75440257978732
157,-138.75444537534668
158,-138.75473432559573
159,-138.7547822331124
160,-315.09164180399426
161,-252.11560180200348
162,-252.11591228448586
163,-252.11581580294524
164,-252.11555958814768
165,-252.11536537274722
166,-315.09165939283463
167,-138.75467760422504
168,-138.7544214125494
169,-138.75442476738888
170,-138.75473042257502
171,-252.1151125095469
172,-252.1160898073378
173,-252.1161934117617
174,-252.11591966908233
175,-277.30398018625357
176,-252.11555813430596
177,-252.1168047835131
178,-138.756529299669
179,-138.75663598519202
180,-138.75715949416931
181,-252.11730398296922
182,-189.1415771803577
183,-252.11783401741334
184,-189.14158552565033
185,-126.16460088924487
186,-126.16453884598826
187,-189.14161935213667
188,-252.1176803462082
189,-138.75707222549815
190,-138.75640216539216
191,-138.7566944222612
192,-189.14082935578526
193,-173.39867094621175
194,-173.38521512193296
195,-173.38858488186963
196,-308.0922316177166
197,-231.12061648415855
198,-346.5728276501142
199,-208.025441356703
200,-252.1147049977972
201,-138.7566396571181
202,-208.03141632186112
203,-277.3057877130717
204,-126.1649663959584
205,-189.13837556201096
206,-315.08945899431086
207,-198.12505522475178
208,-115.68098099231345
209,-138.78529535033218
210,-308.0952436826484
211,-277.30434045022974
212,-208.02922342449997
213,-173.40026650848054
214,-252.12067181996653
215,-189.14297333369234
216,-126.16669079620064
217,-173.39592831802565
218,-259.97955166963703
219,-154.14705351195698
220,-154.14840140668727
221,-346.5791005703195
222,-231.1189506124902
223,-231.11891731476646
224,-154.1475889397189
225,-231.11754131706437
226,-277.3034144060318
227,-308.0907551281614
228,-231.12054179673248
229,-154.1500547420806
230,-308.09206593999903
231,-277.3054272706851
232,-308.08974608599
233,-231.1188126266985
234,-154.14625588442598
235,-277.30471786982014
236,-173.38736833749084
237,-231.1156600090804
238,-77.17220482372238
239,-173.3969607451914
240,-231.12015445603117
241,-189.1392805552421
242,-216.6979975236885
243,-173.3850958478942
244,-277.3053574750639
245,-252.1196096746313
246,-277.305490119641
247,-231.1189398867936
248,-259.9811983380571
249,-208.0291086870754
250,-277.30524099523745
251,-154.14600878584503
252,-252.11430900860367
253,-115.66718720547503
254,-173.39439871118824
255,-315.09199160033984
256,-208.03037195086867
257,-277.3012120637454
258,-308.0941995653255
259,-308.09235680928856
260,-198.12456119980536
261,-148.68131790635906
262,-77.18063144297349
263,-277.29915746536426
