,episode_scores
0,-231.5925925925926
1,-231.4814814814815
2,-231.5925925925926
3,-98.15686274509804
4,-185.24074074074076
5,-185.24074074074076
6,-185.24074074074076
7,-92.75925925925927
8,-92.64814814814815
9,-130.82051282051282
10,-252.4
11,-187.40740740740742
12,-418.6666666666667
13,-252.2
14,-187.40740740740742
15,-252.2
16,-168.96666666666667
17,-279.8888888888889
18,-187.40740740740742
19,-372.3703703703704
20,-279.8888888888889
21,-279.8888888888889
22,-279.8888888888889
23,-372.3703703703704
24,-372.3703703703704
25,-372.3703703703704
26,-372.3703703703704
27,-279.8888888888889
28,-279.8888888888889
29,-187.40740740740742
30,-187.40740740740742
31,-418.6666666666667
32,-418.6666666666667
33,-335.43333333333334
34,-335.43333333333334
35,-335.43333333333334
36,-187.40740740740742
37,-279.8888888888889
38,-279.8888888888889
39,-335.43333333333334
40,-252.2
41,-187.40740740740742
42,-187.40740740740742
43,-335.43333333333334
44,-252.2
45,-279.8888888888889
46,-187.40740740740742
47,-167.16666666666669
48,-418.6666666666667
49,-372.3703703703704
50,-372.3703703703704
51,-279.8888888888889
52,-372.3703703703704
53,-210.45833333333334
54,-314.5
55,-418.5416666666667
56,-314.5
57,-418.2916666666667
58,-210.20833333333334
59,-279.8888888888889
60,-187.40740740740742
61,-187.40740740740742
62,-187.40740740740742
63,-372.3703703703704
64,-372.3703703703704
65,-380.87878787878793
66,-335.43333333333334
67,-335.43333333333334
68,-229.54545454545453
69,-372.3703703703704
70,-279.8888888888889
71,-252.2
72,-279.8888888888889
73,-279.8888888888889
74,-279.8888888888889
75,-380.87878787878793
76,-335.43333333333334
77,-335.43333333333334
78,-372.3703703703704
79,-279.8888888888889
80,-418.6666666666667
81,-187.40740740740742
82,-335.43333333333334
83,-187.40740740740742
84,-335.43333333333334
85,-372.3703703703704
86,-279.8888888888889
87,-335.43333333333334
88,-168.96666666666667
89,-372.3703703703704
90,-187.40740740740742
91,-279.8888888888889
92,-279.8888888888889
93,-229.54545454545453
94,-187.40740740740742
95,-335.43333333333334
96,-210.45833333333334
97,-168.96666666666667
98,-252.2
99,-279.8888888888889
100,-168.96666666666667
101,-279.8888888888889
102,-187.40740740740742
103,-252.2
104,-418.6666666666667
105,-279.8888888888889
106,-335.43333333333334
107,-305.21212121212125
108,-418.6666666666667
109,-305.21212121212125
110,-252.2
111,-279.8888888888889
112,-305.21212121212125
113,-335.43333333333334
114,-380.87878787878793
115,-279.8888888888889
116,-106.41666666666667
117,-187.40740740740742
118,-279.6666666666667
119,-251.6
120,-371.9259259259259
121,-279.6666666666667
122,-305.03030303030306
123,-106.16666666666667
124,-210.20833333333334
125,-314.25
126,-210.20833333333334
127,-210.20833333333334
128,-208.89583333333334
129,-194.23076923076923
130,-129.5897435897436
131,-335.2
132,-251.6
133,-334.83333333333337
134,-322.12820512820514
135,-257.94871794871796
136,-258.1025641025641
137,-257.94871794871796
138,-148.52941176470588
139,-134.69333333333333
140,-256.87179487179486
141,-250.8
142,-335.23333333333335
143,-349.22222222222223
144,-279.02777777777777
145,-239.16666666666669
146,-228.27272727272728
147,-371.2592592592593
148,-279.22222222222223
149,-279.22222222222223
150,-304.8484848484849
151,-464.40740740740745
152,-371.9259259259259
153,-418.0666666666667
154,-100.44
155,-168.56666666666666
156,-334.43333333333334
157,-179.71428571428572
158,-319.974358974359
159,-346.5555555555556
160,-371.2592592592593
161,-239.5952380952381
162,-302.1212121212121
163,-229.1818181818182
164,-332.6333333333333
165,-185.85185185185185
166,-187.1851851851852
167,-186.51851851851853
168,-124.56790123456791
169,-279.44444444444446
170,-335.03333333333336
171,-371.9259259259259
172,-314.0
173,-313.25
174,-371.9259259259259
175,-372.14814814814815
176,-187.1851851851852
177,-210.20833333333334
178,-372.14814814814815
179,-418.4666666666667
180,-279.8888888888889
181,-187.40740740740742
182,-372.3703703703704
183,-305.21212121212125
184,-168.96666666666667
185,-418.4666666666667
186,-279.6666666666667
187,-279.6666666666667
188,-418.2666666666667
189,-418.2916666666667
190,-187.1851851851852
191,-314.25
192,-464.8518518518519
193,-335.23333333333335
194,-335.23333333333335
195,-186.96296296296296
196,-279.44444444444446
197,-332.03333333333336
198,-333.83333333333337
199,-251.2
200,-251.6
201,-152.78787878787878
202,-252.0
203,-194.69230769230768
204,-194.69230769230768
205,-305.21212121212125
206,-228.8181818181818
207,-229.54545454545453
208,-280.02777777777777
209,-229.54545454545453
210,-121.26190476190477
211,-168.16666666666669
212,-278.36111111111114
213,-140.63888888888889
214,-304.4848484848485
215,-187.1851851851852
216,-257.94871794871796
217,-304.4848484848485
218,-251.4
219,-378.51515151515156
220,-335.43333333333334
221,-335.43333333333334
222,-229.54545454545453
223,-141.13888888888889
224,-210.5
225,-208.0
226,-232.92592592592595
227,-250.0
228,-153.33333333333334
229,-279.52777777777777
230,-168.56666666666666
231,-140.47222222222223
232,-167.76666666666668
233,-166.96666666666667
234,-185.85185185185185
235,-186.51851851851853
236,-258.4102564102564
237,-371.9259259259259
238,-152.42424242424244
239,-333.83333333333337
240,-305.03030303030306
241,-349.22222222222223
242,-181.0
243,-280.02777777777777
244,-168.96666666666667
245,-279.8888888888889
246,-279.52777777777777
247,-113.64444444444445
248,-335.23333333333335
249,-229.36363636363637
250,-305.03030303030306
251,-305.03030303030306
252,-305.03030303030306
253,-168.76666666666668
254,-168.76666666666668
255,-252.0
256,-229.54545454545453
257,-250.6
258,-251.4
259,-82.78333333333333
260,-209.70833333333334
261,-335.23333333333335
262,-279.8888888888889
263,-335.43333333333334
264,-251.4
265,-314.25
266,-279.6666666666667
267,-210.20833333333334
268,-303.39393939393943
269,-251.8
270,-297.61904761904765
271,-418.4666666666667
272,-187.40740740740742
273,-185.1851851851852
274,-228.27272727272728
275,-152.24242424242425
276,-304.6666666666667
277,-168.56666666666666
278,-229.1818181818182
279,-140.97222222222223
280,-229.0
281,-229.36363636363637
282,-252.0
283,-153.51515151515153
284,-229.1818181818182
285,-279.36111111111114
286,-209.95833333333334
287,-335.43333333333334
288,-187.1851851851852
289,-224.22222222222223
290,-237.02380952380955
291,-105.16666666666667
292,-335.03333333333336
293,-278.36111111111114
294,-279.6666666666667
295,-347.5555555555556
296,-168.96666666666667
297,-104.22916666666667
298,-250.2
299,-133.21052631578948
300,-105.91666666666667
301,-226.45454545454547
302,-372.14814814814815
303,-209.95833333333334
304,-255.4871794871795
305,-166.96666666666667
306,-302.1212121212121
307,-417.5416666666667
308,-240.30952380952382
309,-358.7142857142857
310,-314.25
311,-93.81481481481482
312,-240.0952380952381
313,-104.47916666666667
314,-210.45833333333334
315,-333.03333333333336
316,-207.45833333333334
317,-210.45833333333334
318,-313.25
319,-208.70833333333334
320,-369.7037037037037
321,-229.54545454545453
322,-168.96666666666667
323,-305.21212121212125
324,-193.30769230769232
325,-192.53846153846155
326,-280.02777777777777
327,-210.5
328,-358.7142857142857
329,-76.17647058823529
330,-119.26190476190477
331,-167.13333333333333
332,-314.0
333,-133.94736842105263
334,-91.37037037037037
335,-190.07692307692307
336,-94.39814814814815
337,-209.33333333333334
338,-335.43333333333334
339,-252.0
340,-99.09803921568628
341,-279.8888888888889
342,-372.14814814814815
343,-371.03703703703707
344,-87.48275862068965
345,-277.19444444444446
346,-82.28333333333333
347,-239.80952380952382
348,-418.2916666666667
349,-54.66666666666667
350,-255.64102564102566
351,-175.64912280701756
352,-54.18888888888889
353,-120.90476190476191
354,-314.25
355,-239.80952380952382
356,-224.4888888888889
357,-380.87878787878793
358,-456.3636363636364
359,-119.76190476190476
360,-119.47619047619048
361,-138.33333333333334
362,-130.68421052631578
363,-168.73333333333332
364,-372.14814814814815
365,-418.2916666666667
366,-335.23333333333335
367,-279.52777777777777
368,-112.57777777777778
369,-119.54761904761905
370,-131.0
371,-238.5952380952381
372,-209.70833333333334
373,-180.0
374,-186.96296296296296
375,-279.86111111111114
376,-257.94871794871796
377,-192.53846153846155
378,-209.39583333333334
379,-223.55555555555557
380,-157.5
381,-177.12280701754386
382,-179.28571428571428
383,-137.63888888888889
384,-178.57142857142858
385,-238.02380952380955
386,-155.125
387,-178.57142857142858
388,-277.0
389,-119.26190476190477
390,-277.0
391,-117.83333333333334
392,-164.33333333333334
393,-258.5641025641026
394,-314.5
395,-372.3703703703704
396,-372.3703703703704
397,-145.23529411764707
398,-239.5952380952381
399,-99.80392156862746
400,-53.833333333333336
401,-228.27272727272728
402,-129.5897435897436
403,-257.64102564102564
404,-89.50877192982456
405,-257.4871794871795
406,-139.97222222222223
407,-193.46153846153845
408,-209.33333333333334
409,-209.5
410,-152.60606060606062
411,-157.75
412,-105.85416666666667
413,-105.85416666666667
414,-177.2280701754386
415,-168.2
416,-209.5
417,-257.4871794871795
418,-179.85714285714286
419,-168.06666666666666
420,-246.68627450980395
421,-140.55555555555554
422,-257.64102564102564
423,-209.5
424,-180.0
425,-257.4871794871795
426,-209.5
427,-180.0
428,-321.6666666666667
429,-34.1948051948052
430,-140.13888888888889
431,-187.01851851851853
432,-261.9166666666667
433,-261.9166666666667
434,-278.69444444444446
435,-239.45238095238096
436,-139.97222222222223
437,-177.54385964912282
438,-120.40476190476191
439,-168.06666666666666
440,-223.55555555555557
441,-168.06666666666666
442,-223.55555555555557
443,-223.55555555555557
444,-120.40476190476191
445,-279.0444444444445
446,-120.40476190476191
447,-223.55555555555557
448,-120.40476190476191
449,-120.40476190476191
450,-168.06666666666666
451,-120.40476190476191
452,-168.06666666666666
453,-120.40476190476191
454,-120.40476190476191
455,-120.40476190476191
456,-223.55555555555557
457,-148.64705882352942
458,-148.64705882352942
459,-120.40476190476191
460,-223.55555555555557
461,-148.64705882352942
462,-94.31481481481482
463,-148.64705882352942
464,-223.55555555555557
465,-209.77083333333334
466,-120.40476190476191
467,-120.40476190476191
468,-177.12280701754386
469,-105.72916666666667
470,-157.75
471,-112.57777777777778
472,-209.77083333333334
473,-53.708333333333336
474,-105.72916666666667
475,-223.6888888888889
476,-134.93333333333334
477,-112.71111111111112
478,-125.9
479,-120.9047619047619
480,-120.40476190476191
481,-279.0444444444445
482,-120.40476190476191
483,-70.61111111111111
484,-223.55555555555557
485,-168.06666666666666
486,-223.55555555555557
487,-120.40476190476191
488,-279.0444444444445
489,-223.55555555555557
490,-223.55555555555557
491,-223.55555555555557
492,-120.40476190476191
493,-223.55555555555557
494,-120.40476190476191
495,-223.55555555555557
496,-209.33333333333334
497,-140.55555555555554
498,-168.06666666666666
499,-120.40476190476191
500,-129.43589743589743
501,-179.85714285714286
502,-200.36507936507937
503,-257.4871794871795
504,-184.07407407407408
505,-2.4235294117647057
506,-52.114583333333336
507,-74.98484848484848
508,-48.076190476190476
509,-238.66666666666669
510,-278.61111111111114
511,-60.69135802469136
512,-314.5
513,-118.04761904761905
514,-185.01851851851853
515,-357.2857142857143
516,-96.74509803921569
517,-73.11764705882354
518,-144.31884057971016
519,-118.58333333333334
520,-118.52380952380952
521,-75.07575757575758
522,-64.0
523,-93.07407407407408
524,-120.04761904761905
525,-100.27450980392157
526,-255.4871794871795
527,-418.2916666666667
528,-210.20833333333334
529,-304.8484848484849
530,-221.15555555555557
531,-379.24242424242425
532,-105.66666666666667
533,-227.36363636363637
534,-139.44444444444446
535,-78.41269841269842
536,-209.70833333333334
537,-184.01851851851853
538,-187.1851851851852
539,-228.27272727272728
540,-210.20833333333334
541,-372.14814814814815
542,-372.3703703703704
543,-335.23333333333335
544,-417.4666666666667
545,-335.43333333333334
546,-252.0
547,-97.92156862745098
548,-99.0686274509804
549,-74.09420289855073
550,-98.62745098039215
551,-139.13888888888889
552,-63.65432098765432
553,-168.76666666666668
554,-186.74074074074076
555,-128.97435897435898
556,-119.83333333333334
557,-279.0
558,-187.40740740740742
559,-278.86111111111114
560,-55.31182795698925
561,-69.65277777777779
562,-45.98245614035088
563,-99.45098039215686
564,-70.44444444444444
565,-34.79738562091504
566,-74.71212121212122
567,-94.20370370370371
568,-207.27083333333334
569,-105.35416666666667
570,-84.26666666666667
571,-139.30555555555557
572,-152.10606060606062
573,-237.5952380952381
574,-227.54545454545453
575,-193.84313725490196
576,-124.3
577,-63.25641025641026
578,-159.5873015873016
579,-105.60416666666667
580,-33.47222222222222
581,-140.55555555555554
582,-255.4871794871795
583,-126.82051282051283
584,-129.43589743589743
585,-168.2
586,-84.33333333333334
587,-357.35714285714283
588,-70.81944444444444
589,-128.97435897435898
590,-335.23333333333335
591,-279.6666666666667
592,-303.39393939393943
593,-105.60416666666667
594,-80.35483870967742
595,-152.24242424242425
596,-228.63636363636363
597,-168.16666666666669
598,-193.92307692307693
599,-140.47222222222223
600,-193.30769230769232
601,-278.52777777777777
602,-152.78787878787878
603,-334.6333333333333
604,-304.1212121212121
605,-152.42424242424244
606,-167.76666666666668
607,-180.42857142857142
608,-152.42424242424244
609,-140.13888888888889
610,-210.20833333333334
611,-209.95833333333334
612,-335.23333333333335
613,-335.23333333333335
614,-167.36666666666667
615,-314.0
616,-209.95833333333334
617,-279.6666666666667
618,-314.0
619,-418.0416666666667
620,-129.5897435897436
621,-152.78787878787878
622,-261.7916666666667
623,-239.30952380952382
624,-239.30952380952382
625,-229.1818181818182
626,-187.1851851851852
627,-229.36363636363637
628,-187.1851851851852
629,-152.42424242424244
630,-257.64102564102564
631,-180.0
632,-239.45238095238096
633,-140.13888888888889
634,-257.64102564102564
635,-140.13888888888889
636,-257.64102564102564
637,-257.4871794871795
638,-168.2
639,-193.6153846153846
640,-70.61111111111111
641,-239.45238095238096
642,-257.64102564102564
643,-257.4871794871795
644,-186.90740740740742
645,-251.6
646,-335.23333333333335
647,-279.8888888888889
648,-168.76666666666668
649,-257.4871794871795
650,-279.27777777777777
651,-321.51282051282055
652,-209.33333333333334
653,-257.64102564102564
654,-168.2
655,-372.3703703703704
656,-246.56862745098042
657,-264.7368421052632
658,-308.54385964912285
659,-220.92982456140354
660,-233.03703703703707
661,-308.54385964912285
662,-233.03703703703707
663,-279.27777777777777
664,-264.7368421052632
665,-264.7368421052632
666,-279.27777777777777
667,-197.60784313725492
668,-220.92982456140354
669,-233.03703703703707
670,-239.30952380952382
671,-207.5
672,-257.4871794871795
673,-152.42424242424244
674,-303.75757575757575
675,-209.33333333333334
676,-225.54545454545453
677,-152.24242424242425
678,-209.33333333333334
679,-209.33333333333334
680,-223.55555555555557
681,-186.7962962962963
682,-295.52941176470586
683,-246.56862745098042
684,-233.03703703703707
685,-246.56862745098042
686,-223.55555555555557
687,-223.55555555555557
688,-168.06666666666666
689,-168.06666666666666
690,-168.06666666666666
691,-168.06666666666666
