,rotor 1,rotor 2,rotor 3,rotor 4
0,405.38938165046,395.00415704401416,453.6779730662577,453.8755902701838
1,269.2807632421312,192.62475055589357,410.68939585273046,478.3818966353228
2,396.1634665758242,389.51636133181853,449.45165024527165,451.88956789799124
3,403.34537170716175,253.69690656463698,492.40638925062456,535.0037326188034
4,389.45013657412784,398.9184644067081,438.42879246116377,438.1343933646401
5,390.26779673137963,404.8703758982538,437.3378178489776,435.3354183055948
6,385.7199609249173,403.5637270850955,435.9760719932478,432.2437462349792
7,194.85922412558435,135.833143449421,353.78727193923714,729.7917314999994
8,419.1439890632815,207.34830804014075,343.86344702286095,697.2286401947573
9,288.8520253618439,313.7425802921101,333.86176347512793,635.2597955785996
10,441.8215874246611,466.34250322492676,285.1719161839682,435.2825452567473
11,374.9608550861542,211.00075705244598,273.1813762938969,690.1407595892744
12,243.81309392788052,156.6104147059542,240.22061473169086,694.4355548586776
13,318.4755231503425,175.086635885217,323.0216639451688,722.0133074028657
14,382.10779488178656,211.47218104130616,289.4650695384611,703.053634953403
15,405.0344435786054,395.722938482324,453.6453240012163,454.01341131373664
16,267.75098944236237,193.11061299902858,411.14556670014133,478.7408622089755
17,396.996236016155,390.8079951994016,448.94945161478375,452.0468259284273
18,404.13256677447873,254.01740545788778,491.3208765296981,534.3871196740951
19,390.0901143921874,399.2868883999273,436.68790260628225,438.3724134883114
20,391.6657595988468,405.29438465976256,435.541995839439,434.4837796416345
21,388.11118926893175,404.3989014137118,435.6956293129717,431.2187933707073
22,197.85853532400714,137.21749321814517,354.1570290442946,729.6299390111764
23,421.0074017017606,208.37560135677845,344.58378746595025,698.0286593492509
24,289.9187930525516,313.5162824249087,334.6159065344991,635.9568265626912
25,442.4082388352333,468.4138182949025,286.18783729058947,436.44367406030386
26,376.14549557693545,212.4302645656951,273.62365705374367,691.0081998463319
27,245.62360096769726,157.95611195591886,240.72383654054389,694.0350084068046
28,319.02165314504606,176.36069602858683,324.2968213815864,721.536865932406
29,382.44747996943335,211.9195269304919,290.59569514174234,702.3464761155026
30,405.488288608067,394.34710317156873,453.1021859670977,453.0240248806176
31,619.0326815774806,515.6069906557748,310.13272538397115,473.0974687084349
32,396.45792357753544,406.297997175478,428.26804927267113,437.6210004777105
33,404.8167847462481,412.08209495607105,427.724508078514,432.8133186603765
34,398.1200857314738,411.10237515244734,424.55553643524945,423.66132709573486
35,392.41774906378083,408.8922559604298,420.29888036087084,418.38259550871567
36,392.0480817700637,408.4765294248203,417.03731065073896,415.1035882320308
37,275.1971350496117,193.43290166817513,419.2633686542735,462.4965358404286
38,206.35253824070872,130.2317919513276,333.9458565891308,729.0034570802917
39,178.73230618583815,142.71637752897993,331.6762241343618,720.6650588901331
40,323.22940584359475,176.95650250693853,348.03230470996203,704.9437667605363
41,198.82385548172556,172.2027130956341,282.83215482988936,698.1901470019341
42,224.01002596724524,134.29909897545937,357.3501743811967,728.1496359488748
43,276.1363988383061,175.35855400339224,323.1671351781484,704.1951089361925
44,406.21485174935316,394.53604250661266,453.2077759592599,454.0205895984123
45,406.6429028088557,394.83309969487726,453.0049526098102,454.2833027042796
46,199.70508594648888,141.37040110573855,363.88533654292837,739.5348811148807
47,424.5052679370907,200.25552800400047,352.95093668310125,708.859957672362
48,451.7584068784118,453.93295316411997,391.0128589325708,434.3807995962465
49,440.55949893901595,463.0777905190088,304.70945597679685,448.0900576929234
50,446.38735666539185,472.9217923025355,273.0575310324079,451.6070159740751
51,456.2869700641955,481.9577288428336,244.8307791451938,459.2762955069775
52,475.651944714616,496.69978783199815,221.13997384900617,464.1082702057501
53,501.22940890143485,513.7053732481012,201.8352240471915,471.7890470645447
54,405.16463779246214,395.51167238979014,452.5084854089503,454.06646641410623
55,268.23354733590617,193.94129869374694,410.61873942273036,477.7340999755967
56,397.59595108684414,391.8193693802238,448.8607428609693,450.57596611774943
57,404.9216211132941,256.02919878284257,491.46832836039783,534.0948950510985
58,391.8360571435047,400.9706467218232,436.808001098072,438.71815881068756
59,392.5511903385528,407.43289224338264,436.7069393084279,434.4831683630979
60,388.22433494025927,405.87498910722974,435.8841347944583,430.97116802502
61,198.0965306916386,137.59929006458657,355.82816834588505,730.1123793257523
62,421.36141515922367,208.53628782485532,344.58067578148945,698.9267223240631
63,291.67662570625265,314.65663078781085,335.7972359478558,636.4185385955365
64,443.5433592751469,469.2538263555125,285.8695798325856,436.19108711046687
65,528.808577405309,360.7718172577996,419.0197109979261,488.3815395219239
66,452.4407694467143,486.3580817944905,209.67262575173564,452.74203797509483
67,545.2343064405438,524.8073353089144,457.4000819953018,446.30886413446814
68,465.98282081553367,251.31021409138688,513.6421514487675,535.0351984482827
69,404.6832570192775,394.9724097836278,452.45981946701113,453.6780584576495
70,268.7369698363775,193.00889283283146,410.7070026172578,477.4728968759656
71,397.1101163084352,390.9336497590424,449.1654100198998,450.23156237967345
72,403.4425810745679,255.94734608324129,491.93957859326406,533.2556231401128
73,389.79151561896947,400.1261051951148,438.42924119998617,437.4125127820006
74,390.03609181430437,406.65689799303675,437.4690688346748,434.64438125946725
75,386.43966713754,405.08905824845317,436.81515282157767,431.7102397014294
76,196.59279347510906,137.6335109888947,355.6644502160276,728.5304118872247
77,416.7362642590165,206.81432331040773,345.2401282866742,698.8137544732497
78,289.20084376289975,311.8947503599461,335.2008711396393,637.6173961783102
79,442.0883193418847,468.4157779275725,287.4626867665351,435.2624746340338
80,375.8737160963372,212.4408292135572,274.5899779001553,690.2476135011011
81,243.8769078131735,157.31870427847176,241.0667337957859,693.0337029947865
82,318.25067615356426,173.65213413592386,323.6386011005469,722.3276155568391
83,383.09978196045006,209.48879695617717,290.8146694685898,703.5805955989202
84,405.3349718654404,394.8561289851259,452.967059415946,453.79622312682363
85,268.99844160561224,193.53720248463276,410.0581812692972,477.3996942350141
86,396.65302719056734,390.4456231542167,448.51445243074835,450.98544536702025
87,403.4797367368539,254.71614906786112,491.10448615574546,535.1593242026155
88,390.03080425325754,399.71762003821243,435.88303123901784,439.2801621388222
89,391.1896960179471,406.97227540113926,434.93668742477007,435.02226342977525
90,386.6421694688803,405.3845032318008,435.9234078177131,431.6346406599788
91,196.0739956751327,137.5583266220532,354.84566468496445,730.3866639987024
92,420.32942133754506,208.75059747373504,344.19498298988896,699.1473108378581
93,289.90279270051195,314.17674652008805,334.1889117424386,636.5450583206696
94,441.85628983769715,467.16433015501553,283.99744608616953,437.9476024639324
95,377.5435322217147,210.99753224450595,271.97986387652196,692.2677262567182
96,247.15510989698032,156.87844501186768,238.64350959017432,696.2939266181115
97,322.3266469580808,175.93820719141408,322.0889758758829,723.3733163122325
98,385.8396128135589,210.58379436655107,288.07266210727045,703.8058080738692
99,405.5009930777069,395.32023629921196,453.6174042737556,452.89563413342637
100,458.13818765934366,321.28787692205526,461.6472886669384,435.88564992611424
101,398.7304685728433,386.41143930514033,445.8096743217043,449.63027610114466
102,615.7881400679953,508.6577435750409,324.63842599772374,472.55203413867804
103,398.7101282125888,399.2031898584408,431.2704388070596,447.396467782241
104,400.22904612693003,404.56385181402504,427.57753866108607,439.75488245952886
105,385.4451226998373,403.4407561954568,424.2182635147674,428.6118109560457
106,272.84594578502083,193.85234557356756,419.50540457128784,466.25110268509286
107,206.36998247811832,136.3463808749423,349.2600450698374,724.6577728644343
108,418.207809303255,215.97932944165225,343.8929896715594,681.3136319994173
109,264.1327027577422,147.91819110244208,368.74975455328416,716.0318579641305
110,350.9564356132525,210.68601468337482,309.86732953654166,679.4931966737037
111,224.1934191879824,204.48405415940118,284.0816366915409,676.1933899809054
112,237.8594660538735,152.67040243955293,366.77152289923055,706.5755520155337
113,291.83117984154427,199.2007984962943,343.2973588992726,678.7936295578294
114,345.6337500698323,240.7089786645027,326.5741054853208,653.8537683873743
115,404.6283856958689,393.8892764516819,453.02731369608705,453.3124087484003
116,268.19657467042,191.6141798466542,410.7828222453646,478.1064953380609
117,395.9662551284461,389.23690551754635,448.65759092057965,451.73022250371184
118,403.2278870791036,253.7843667863746,491.2688940639299,534.6038750922511
119,388.3531268883945,399.8477565507581,436.7762568561326,439.05260913557237
120,388.8248433746966,405.9494671715415,435.4863821291627,434.72712056573044
121,385.50014828560074,405.6782797824319,435.90401765622363,431.4701096173821
122,195.10762629998743,137.8744947246153,354.96499749643425,730.0302382707729
123,419.14557804565476,209.645307403636,343.24228994486145,698.113046389992
124,289.30435833531084,314.8168814711971,332.6870240687182,635.2190939292079
125,441.4145807934879,467.89777053617803,282.8778294440158,434.83536758868127
126,528.0932842020335,358.93124545770496,416.7184814385285,488.3377553817107
127,451.22375554195304,484.7820266587207,208.38631817007084,453.30584330512
128,529.9149627855126,531.0046031691031,433.5846454324909,420.17610624060194
129,319.7999466860419,235.49891621242674,407.27499556496974,452.60142819518427
130,404.62134299908394,391.10111288974014,461.8482650061444,454.11942879235573
131,571.5144303413334,463.30334107488056,300.97917984302774,438.8408389060828
132,396.01792865241526,394.6079869092329,442.8796580438813,434.7319125047071
133,396.1352149310533,401.2596276297757,440.89757396553557,430.1655755506994
134,383.64688754047114,397.98592714987257,438.65128454239505,420.7020160491555
135,375.63697197091227,387.4348475559614,439.71286815906586,417.2746578527057
136,387.8445208956523,247.23944512296663,391.21517695258774,441.9556482993462
137,375.7994946202527,379.4050880411598,433.30393079722734,413.43679610709165
138,415.8827701262751,295.48888796437654,390.0325736012775,467.23255621304327
139,391.6192922480245,397.1473883001382,426.691714174432,409.61071843334094
140,258.6861694543518,392.24114780083124,199.2438606609457,782.2052027472894
141,593.8844374920569,527.2636948888362,155.1558501169337,715.7198019996242
142,373.24659096231744,418.54201497429074,243.8023272592352,737.7002852841485
143,664.2899433845608,582.6276625848282,256.5065826193831,673.9947415378599
144,217.8247281314018,436.4876061695862,242.8422709792084,779.4777429708798
145,564.1969156239751,511.404287842878,437.5387101462837,431.12655069602096
146,654.5695886066325,622.8933438955671,432.84726549563106,493.0444870843085
147,365.6993514193986,378.6065485130108,433.6944329994857,433.7555684140908
148,361.9872285075916,379.31960769619263,432.0077244430381,433.66142607738647
149,362.11115301245957,379.32354435530954,430.9035831693967,434.53473262779744
150,360.3834339963209,378.95638140462626,430.22591738059737,434.39380144009243
151,359.4520199287139,380.45530569539176,428.96527899131974,434.22390210810124
152,355.83794687682814,379.17285505997256,428.20776109304205,433.48473648893486
153,352.32896922927364,379.4905473556691,427.22622019437694,434.26339007102416
154,349.72780164612135,377.612793134832,428.9745704132627,436.613408900362
155,341.592742591629,377.6627270530635,426.9488099096472,442.98542302305293
156,335.49709881201693,376.54047683631154,428.51348605759114,451.2397149511838
157,324.77047216494543,391.76973102511886,430.09079464530464,466.4782682819985
158,321.94541655032367,412.18661836024484,429.285954336452,483.2438318844775
159,309.93299035746526,426.78736299134545,431.90883799232085,512.4859573016809
160,256.99893027844104,434.79287825553166,435.0288984713069,515.4960605587395
161,191.0913223367591,468.84795385297286,428.3837010119649,509.83687555789027
162,127.13868852974556,494.00795790768416,418.94980151702725,503.92602249284323
163,78.04652640314279,492.93512505650443,445.618425369579,486.5117683723028
164,37.94655218359884,465.86662835664197,423.94174678325965,579.5632672788081
165,18.104892408870946,702.6781629314137,471.97883673216484,543.4130119820759
166,289.30107217199776,378.8854019970024,383.38431805433277,434.5890312490395
167,283.9796083355306,380.1199822010835,387.24219279643364,434.269254328016
168,271.8027684698805,387.95636281544887,401.95920245272464,424.8976581856685
169,266.14388420850054,413.60838498976324,421.3060911165222,436.30123355989184
170,269.69989556368984,456.8797128901346,411.59794826447205,479.61171043113603
171,213.62547745567997,465.2911073126137,346.9283288664953,530.7822506867045
172,89.88476251336789,495.4250876509167,293.6592657394988,534.4673115046161
173,28.943169944901435,547.4712011830335,222.95684947812367,513.9267130286861
174,5.554608749434453,579.5523955179706,131.8200858337823,565.9892962854016
175,165.9204840676846,327.04138326616334,376.4216469163438,568.2296437963762
176,181.19616803659198,360.7289034237755,255.14649415222502,623.302061681058
177,263.3666933775289,390.55451623187474,392.72096031197964,402.8796769239279
178,252.54226698903335,394.20488975072686,395.69337875341785,400.9843197162881
179,229.50697316795987,419.51618049646765,404.4106335827849,425.80211327653444
180,209.3429509804325,458.18387073199284,376.4205516218542,475.5635345296985
181,131.0793019114836,514.3226985101105,270.1551699892147,572.8444374510011
182,16.51688976805387,568.3347197358811,168.5981736369334,583.5341677357848
183,0.08334621934029275,693.1081234285148,86.6216223677089,639.9288490833042
184,52.22598051649727,435.0440576733111,295.0073585561237,501.16050494658134
185,4.198426033045874,553.0213587470621,124.49580152184717,626.34059792253
186,0.7879499935416054,779.4253873613037,85.02178240340709,624.5979754783488
187,229.2955946418697,401.1847415157602,398.8878566951553,373.3689399905785
