,episode_scores
0,-277.3017019749721
1,-208.02732644990746
2,-208.02732849980816
3,-277.30173323780537
4,-277.30173628228016
5,-277.3017261947844
6,-277.3017269815399
7,-277.30172695280766
8,-208.0273179393242
9,-277.3017279739744
10,-277.3017328552495
11,-277.30172267667456
12,-277.30172479627134
13,-208.02731715123906
14,-277.3017084576271
15,-154.14418739312077
16,-208.02739189160812
17,-138.752988816365
18,-154.1444808374114
19,-189.1359510977695
20,-173.38415368765698
21,-173.384150080951
22,-308.08763608705186
23,-231.11589422512205
24,-173.3840222763237
25,-231.1159368526376
26,-173.3840696738234
27,-173.38411062485804
28,-173.38414581753733
29,-173.38415175186213
30,-308.0877895019722
31,-308.0878059817523
32,-308.08782951900434
33,-173.38424357158155
34,-173.38429352004835
35,-173.3843176689578
36,-173.3842455324122
37,-308.0877243474705
38,-231.11613276932655
39,-277.3017232388317
40,-126.15921952203156
41,-277.3013349147979
42,-208.02703070289832
43,-252.11255485656923
44,-189.13621269104826
45,-126.15992368093721
46,-154.14470170740572
47,-277.30224283403777
48,-154.14499860784568
49,-277.302475877201
50,-154.14484687458082
51,-231.11577772668866
52,-259.9765723372761
53,-231.12160002333016
54,-277.30057622179436
55,-126.1592690447983
56,-146.05904325816172
57,-173.3847397468454
58,-208.02866811355142
59,-308.0883741381907
60,-259.9774862019352
61,-259.9773719249758
62,-259.9772824641941
63,-277.30164173825796
64,-173.38410328733997
65,-231.1160898558543
66,-308.0875410667202
67,-154.1444192786807
68,-154.144103176182
69,-208.0267317053312
70,-173.38432625825533
71,-109.59675654163993
72,-208.0267411145108
73,-346.5759174198921
74,-346.5759508562641
75,-154.14421027683724
76,-208.02676884179783
77,-231.11589348283803
78,-208.02732197713493
79,-208.02710422163585
80,-138.75245170974716
81,-277.3014830035736
82,-173.38385647677654
83,-308.08754843363334
84,-277.3014120753993
85,-277.3011375597113
86,-154.1438760021274
87,-277.3012107344489
88,-231.11618680500084
89,-231.11635758783203
90,-308.087706277901
91,-252.11405191330397
92,-231.1160070173539
93,-231.11534907448362
94,-160.07259218467442
95,-173.38311393136703
96,-231.12250005410172
97,-231.11563325770737
98,-208.02639848582845
99,-231.11505950425806
100,-231.1152157971063
101,-231.1150046410413
102,-189.13539451681936
103,-160.07419947642381
104,-109.58918037158824
105,-184.94137854336287
106,-86.80475675008157
107,-130.10108212535758
108,-115.66362841913815
109,-198.13734699645525
110,-252.11136157625435
111,-315.08906479969
112,-189.13378492595223
113,-63.192042011346636
114,-189.13550794560177
115,-94.68103479135516
116,-247.6204035039888
117,-346.5702583448333
118,-231.11545195011115
119,-138.75213089510316
120,-277.3004329217827
121,-115.66522032829573
122,-277.3011806928819
123,-231.11621373425518
124,-154.14425601816947
125,-154.14453045332382
126,-160.0750672532186
127,-277.3009932113085
128,-99.1891123358235
129,-259.97708912218087
130,-277.30050275290904
131,-259.97817473932037
132,-259.9784271836901
133,-396.0482434495358
134,-198.12081343900795
135,-198.12129067335624
136,-308.08748019620816
137,-154.14412529395796
138,-173.38426471774986
139,-308.08742212637475
140,-231.11572351528827
141,-231.1157403959493
142,-346.57564969583507
143,-154.14437121995306
144,-346.57571183921334
145,-231.11609925057974
146,-231.1157450778857
147,-308.08777278129696
148,-288.85105767769954
149,-189.13640916860592
150,-173.38435510038022
151,-231.1225889172005
152,-208.0267373363231
153,-208.02708831618628
154,-126.15836358474421
155,-231.12234034970052
156,-231.11613273047982
157,-208.02628189488138
158,-208.02654074142524
159,-126.16833606858482
160,-69.48986001248888
161,-213.36218943020089
162,-138.75281853697217
163,-203.96121174318662
164,-189.13525852619375
165,-126.1592599418102
166,-208.02669979785665
167,-138.7608322752913
168,-184.94248644689588
169,-346.5708027540602
170,-189.136064268885
171,-277.3020501515076
172,-138.75260102336705
173,-346.5705832460313
174,-277.3015620585321
175,-252.11218200066577
176,-126.15823449007199
177,-130.10163775085334
178,-252.11310166260444
179,-138.75295901115862
180,-252.1128099766046
181,-154.1442648294304
182,-115.66542161320736
183,-277.3017219644649
184,-277.3015143031593
185,-231.12208027103065
186,-173.39326648273803
187,-138.75232385369875
188,-231.1161124944376
189,-259.97720292949504
190,-277.30199565320606
191,-231.1164530817495
192,-154.1442894734836
193,-308.0875304220899
194,-277.30237537098577
195,-126.16063096878237
196,-89.60993939599341
197,-160.0730287550333
198,-208.02709050543453
199,-138.75284445666892
200,-231.11618852219848
201,-138.75234490995075
202,-308.08772566788514
203,-277.302050349603
204,-308.0874617341239
205,-252.11367525068047
206,-154.1438703347171
207,-173.38443935569308
208,-277.3009694267656
209,-308.08761555451224
210,-252.11317702760817
211,-154.14443549925227
212,-231.1157357183562
213,-308.08781446495
214,-277.3012053163669
215,-154.1446663705985
216,-231.1219479194709
217,-346.57021766986315
218,-173.3935819332024
219,-126.1590421251411
220,-252.11301381856845
221,-173.39393779469432
