,rotor 1,rotor 2,rotor 3,rotor 4
0,183.01491018782605,181.40086056125415,234.5542649183028,162.21203797673064
1,149.2840862523105,198.67606213058326,617.9278255810893,103.8810448816193
2,230.81137381790396,125.72719489798268,181.97545258589253,155.6762873096199
3,269.67889916210254,100.04883962935905,125.43691611370451,139.36740472771112
4,266.772170797721,107.55914964245711,124.61874721161746,143.6504676981286
5,262.6711348652052,116.48862772995712,126.019442766124,150.46167877352386
6,260.8868253298904,123.6473568891024,131.35975559946894,158.45891294836892
7,261.8532691789416,132.63861811253673,140.19196440121635,167.26008439076065
8,140.4549726845863,196.67426565258162,216.1119028659686,152.1654996876025
9,148.687195465316,211.3763905178874,226.31390328881582,158.88720103747508
10,159.13207752287676,229.0700126302391,237.4774833714954,166.92585569076473
11,171.0593658100202,249.9666056989852,250.02707423095265,176.87303389624145
12,182.90620152694981,274.05241674360315,264.0171902484058,189.827343236845
13,196.17082885205286,302.5215509853247,282.4252115324308,205.72420662646763
14,210.0225304615727,339.9125266056373,308.2995156250308,223.92957248053398
15,227.08430739758003,392.0624451099433,332.28950546780356,241.0162887196305
16,237.08498174283997,461.92403237996444,357.11804200521954,249.3868195548623
17,347.3398202107918,318.01358443005597,365.31574067144385,317.4334113921593
18,367.08261842574535,264.85855399397116,457.2138452995162,381.0461237580619
19,367.90525513225896,206.6181513816044,437.12179990282993,357.7259877759493
20,343.4803529328892,199.59589531048823,457.8002558788167,363.14821914927626
21,323.37755296314856,206.88407857270676,490.79880610474953,357.21773736068275
22,183.96382741256218,181.5241451689075,234.76356152580726,162.5726472615184
23,151.11657220076475,200.13667122419906,618.6333021916811,104.46830448348396
24,232.8884291170567,127.29870030429348,182.21521177875047,157.40040204703197
25,272.31090724071373,101.26163517914244,126.78203510900993,140.78838349727556
26,269.5039998367713,108.74962157392605,125.03234823766675,144.8429081821287
27,265.02840502235875,116.578870472919,127.15629966906901,150.76444293026412
28,262.4331898382586,124.22520513526511,132.17470901528011,158.25967351129458
29,263.6611935833563,132.46479031308505,140.6591778845385,166.97590605431145
30,141.23707527001625,195.22215996789618,215.01085928173197,153.87653652957667
31,149.8054419851387,209.72275896386253,224.45086733053458,160.9250149275397
32,160.54166715525324,227.64991008281694,235.3173040626256,168.8025150425165
33,171.77731799381684,248.3465773103691,247.64189138455922,178.36396539582555
34,184.56751564701227,272.1571554335509,261.99139267835653,190.45533539071548
35,197.33610775713606,300.64217714490746,279.81339002089663,206.30865956250952
36,211.44144818138003,338.46681500136054,304.98271631936524,223.1448604959019
37,229.6081932875361,390.25526807391543,329.4305256326824,241.91505755940184
38,240.56305665875954,457.9836479313713,355.1188122882989,251.17886343923576
39,274.6599909191111,188.07167921099847,173.86306788860892,283.2271950486343
40,364.314540367881,341.0969386718494,392.9979875521477,339.2305447342648
41,361.4707875691965,303.21386976345286,456.25604975507423,398.55114917956763
42,356.30006727782126,193.46813220591366,465.33353604462866,352.91120741234505
43,338.88233841708853,195.43714875320177,493.5766185872513,343.5546115571064
44,183.071031709337,180.98566187293142,233.97213633674804,160.95961865101916
45,150.0198743984403,199.04661239151702,616.6846682493396,102.6881487460539
46,232.02520435006096,126.6963431602692,181.70863381106165,155.29480708318488
47,270.903070289396,100.65456174977449,125.10277454884312,138.60229212731366
48,267.3604662932691,108.65060466094643,123.52600377598692,142.40662805730122
49,262.435528448536,116.2292166178438,125.22768486509636,148.63292661141165
50,260.77951474819565,124.36763921878604,132.15230622569365,156.75217165863546
51,262.3131563315475,132.26363171902378,141.54930687446955,166.18162888412223
52,141.94673240392763,195.76847609661974,216.60248633127205,151.74054661456148
53,150.61124025660413,209.2027780834963,227.33975859130203,158.20124947361035
54,161.46322887737432,226.32877101181268,239.0226757366465,166.67021770486036
55,172.6184009851657,248.61394233971737,251.58076815791438,175.7541743000747
56,184.2564627903986,273.1213647238829,266.2880307275641,188.49718139473188
57,197.73018984221065,300.59420970463293,283.99396401282445,203.3939552051715
58,212.96261450367527,338.22061309473384,309.548781025556,219.79404139517337
59,230.47997693325027,390.10020092614843,334.3580411190632,237.78296442030057
60,240.67214214130513,458.68701818422323,359.52901795133437,248.46179630663448
61,273.1309676356462,190.21408712783196,174.77932370740308,279.3914983306886
62,361.0224193248283,343.32956060471605,399.99598667430854,337.8922072850136
63,298.6187115752175,294.78433239748034,415.9073703085165,414.25101402211345
64,360.1809219379005,196.99977730867033,465.61525807000766,354.4465568691795
65,339.64606661915735,197.7852912969156,493.49686317619955,346.03213379515114
66,182.7817009709069,180.3808863127233,234.61401811546423,161.6770722372438
67,149.4402423081383,198.7832436771123,617.9920917796634,103.60317660201554
68,231.17760217654927,125.98236048234544,181.57339473757665,156.64247215600594
69,269.4696927236361,100.50596124592852,125.73326875208164,140.65985070186164
70,267.80486071638006,108.02438738277385,124.06393647769346,144.55970626098986
71,262.9592726429408,115.58767520441054,126.31516643586227,150.92244424470533
72,261.6284672940113,124.25951973934988,131.63172064952036,159.1450444635028
73,262.6859006673699,132.91747853372576,140.3709853338437,168.02946758226224
74,140.78143152014425,196.25847644445983,215.71902008212186,153.1051001734016
75,149.38498941774168,210.85448843545677,225.56053948521486,160.22536008230526
