,episode_scores
0,-155.625
1,-155.625
2,-110.17777777777778
3,-303.93939393939394
4,-103.60416666666667
5,-155.625
6,-207.64583333333334
7,-99.2156862745098
8,-103.60416666666667
9,-137.55555555555554
10,-169.01666666666668
11,-210.83333333333334
12,-154.06060606060606
13,-381.06060606060606
14,-252.4
15,-280.1111111111111
16,-305.39393939393943
17,-335.6333333333333
18,-280.1111111111111
19,-335.6333333333333
20,-305.39393939393943
21,-305.39393939393943
22,-305.39393939393943
23,-94.64814814814815
24,-154.06060606060606
25,-153.15151515151516
26,-279.52777777777777
27,-239.02380952380955
28,-333.03333333333336
29,-334.03333333333336
30,-228.0909090909091
31,-167.96666666666667
32,-251.0
33,-250.6
34,-251.2
35,-372.14814814814815
36,-238.45238095238096
37,-386.3076923076923
38,-210.45833333333334
39,-210.45833333333334
40,-314.5
41,-418.6666666666667
42,-210.45833333333334
43,-229.54545454545453
44,-153.87878787878788
45,-372.3703703703704
46,-252.0
47,-252.2
48,-187.62962962962965
49,-187.62962962962965
50,-418.8666666666667
51,-187.62962962962965
52,-187.62962962962965
53,-280.1111111111111
54,-280.1111111111111
55,-187.62962962962965
56,-187.62962962962965
57,-280.1111111111111
58,-187.62962962962965
59,-187.62962962962965
60,-335.6333333333333
61,-252.4
62,-252.4
63,-169.16666666666669
64,-335.6333333333333
65,-252.4
66,-252.4
67,-335.6333333333333
68,-335.6333333333333
69,-335.6333333333333
70,-335.6333333333333
71,-187.62962962962965
72,-187.62962962962965
73,-280.1111111111111
74,-372.5925925925926
75,-372.5925925925926
76,-280.1111111111111
77,-372.5925925925926
78,-372.3703703703704
79,-279.8888888888889
80,-279.8888888888889
81,-372.3703703703704
82,-279.8888888888889
83,-305.21212121212125
84,-279.8888888888889
85,-252.2
86,-252.2
87,-279.8888888888889
88,-279.8888888888889
89,-335.43333333333334
90,-305.03030303030306
91,-187.1851851851852
92,-210.5
93,-177.85714285714286
94,-279.6666666666667
95,-279.6666666666667
96,-187.40740740740742
97,-279.8888888888889
98,-335.43333333333334
99,-187.40740740740742
100,-335.43333333333334
101,-301.39393939393943
102,-210.45833333333334
103,-305.03030303030306
104,-371.9259259259259
105,-372.3703703703704
