,rotor 1,rotor 2,rotor 3,rotor 4
0,371.1064941618596,515.3264365663161,433.21006286015864,551.3488719090441
1,350.7132483142507,496.8492671939395,452.68867502196974,547.864089927144
2,340.70605082263967,479.18036359198186,459.00275503797616,551.647652755915
3,322.8570762615459,481.2899756906294,463.8973495363207,571.1354384736574
4,315.516152707679,491.768427559756,464.9261035407071,605.867670378036
5,303.11652674042716,503.18202486738005,468.4015216154337,638.2393160664261
6,282.352453760626,520.0018363436228,474.7798688871956,685.0947923880993
7,238.14171031520877,545.2260331932382,486.56353989495335,741.3406084361372
8,274.3735508874669,588.7599272860137,449.2652273836284,759.0553168887512
9,279.48789710683684,522.7581185286737,521.8234433979632,658.07466554794
10,275.69033006720434,471.95014975385266,565.2465384593534,668.9589522099886
11,242.33866193331815,500.7894459243245,570.2995388292579,721.3322373186096
12,212.73284642890738,527.8214716805335,574.0694705986366,759.1912817699086
13,371.43533170821246,515.7196099488921,431.9490017949771,551.71238101988
14,350.6583108697517,495.5655725121252,453.16005518740644,549.058180210243
15,341.89549800543284,477.8135668701273,459.3344589474285,553.6614512664008
16,324.9064258684575,480.0520949030115,466.618482851973,573.0435187393965
17,318.3169221789887,488.7556013765527,466.33075366193,606.2011290331857
18,306.0950092910719,499.0928994164703,469.4497207930629,636.8142990014661
19,285.81667253215943,515.4230897786563,475.6060634494565,681.1864402744175
20,243.61065795963717,540.1757786043859,486.79681169552066,737.796218467536
21,280.3002908876168,584.0530501013889,447.6174255047503,754.0360100843639
22,285.54014366318546,509.1183726418863,516.7662834143887,649.5195349176793
23,271.5760269977674,460.11411752359203,567.0182282880702,667.955405170443
24,241.6430457973738,491.13967721213226,576.3805976549426,720.5180511808995
25,212.30767375968418,517.4973644032531,579.4828764527201,758.9292185120405
26,370.0490988453934,515.3608681605566,433.60830516373153,552.0808006924145
27,349.0656744901026,495.3642501095145,453.88050820557174,548.6338880862007
28,340.9940094960549,477.0306499785435,460.0838281661431,552.203503322459
29,323.10370947232343,478.445548542023,465.93117566549944,571.6907221317795
30,315.25286849366955,488.31460643130663,466.98710331961666,605.4964244075423
31,304.2507500792792,498.9264707637365,470.02387981711513,635.8509829317512
32,284.8230303630747,515.7776298848197,475.49328757903197,681.3365000185886
33,241.3274941511859,539.8861977805576,486.10138814119676,737.1477187998274
34,278.93693952439554,584.7255927470906,447.737305435673,753.3110848580727
35,289.14988611603036,512.2242285852138,513.9006709502165,647.4581161590786
36,278.14726943643234,464.63701947238,565.7933633181748,662.2669515695843
37,244.21582855555405,494.8217936284541,573.063495992172,716.9537201153964
38,215.77106242656046,521.5167644486962,576.5642738888008,755.2863732603652
39,371.3241641626945,515.5163433112482,432.64308062224217,551.0012678981456
40,350.2076182560926,496.79288746504704,453.1618150585637,548.4556590160247
41,341.156118958614,479.3024777967741,458.83688273797253,553.8065042288584
42,323.69094885006024,481.64907126571006,464.7767509976504,573.9225828602797
43,316.430943516244,491.6334157945833,465.2518249618315,609.7448935344963
44,303.824180838256,501.6287583890685,469.88381222621837,640.9706845816131
45,282.381407825851,519.2263277774772,475.1914728925284,685.3750884178709
46,237.95853144803775,544.8182836668365,487.1733590467285,742.7085082725024
47,275.4541453257078,587.5417655898004,448.8888435582169,759.4618215865049
48,275.0644178565145,519.8820862429544,524.862604094321,661.3551405200552
49,270.49086351603574,470.706469272088,567.618534616214,675.319499668203
